date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-03-01,241.69,242.79,239.26,241.05,14043349,241.69,242.79,239.26,241.05,14043349,0.0,1.0
2021-03-02,234.42,241.2,234.27,238.79,14644193,234.42,241.2,234.27,238.79,14644193,0.0,1.0
2021-03-03,236.27,239.6086,234.4506,237.5,13571668,236.27,239.6086,234.4506,237.5,13571668,0.0,1.0
2021-03-04,230.5,236.37,228.36,235.0,22964848,230.5,236.37,228.36,235.0,22964848,0.0,1.0
2021-03-05,233.89,236.43,228.34,235.42,15988377,233.89,236.43,228.34,235.42,15988377,0.0,1.0
2021-03-08,226.69,230.81,226.53,229.02,17138380,226.69,230.81,226.53,229.02,17138380,0.0,1.0
2021-03-09,238.14,238.74,233.075,233.38,15291260,238.14,238.74,233.075,233.38,15291260,0.0,1.0
2021-03-10,234.3,241.325,233.64,241.0,10491176,234.3,241.325,233.64,241.0,10491176,0.0,1.0
2021-03-11,240.8,241.72,235.0,237.2,15162534,240.8,241.72,235.0,237.2,15162534,0.0,1.0
2021-03-12,231.87,235.45,229.7058,233.695,17778446,231.87,235.45,229.7058,233.695,17778446,0.0,1.0
2021-03-15,230.28,230.45,226.26,228.41,14520334,230.28,230.45,226.26,228.41,14520334,0.0,1.0
2021-03-16,226.93,229.85,225.53,228.07,19336592,226.93,229.85,225.53,228.07,19336592,0.0,1.0
2021-03-17,233.34,235.63,225.81,226.5,16949507,233.34,235.63,225.81,226.5,16949507,0.0,1.0
2021-03-18,236.43,239.5,235.56,238.56,14836080,236.43,239.5,235.56,238.56,14836080,0.0,1.0
2021-03-19,239.79,241.6,236.8838,239.66,15959658,239.79,241.6,236.8838,239.66,15959658,0.0,1.0
2021-03-22,237.12,238.53,235.0,235.855,12063171,237.12,238.53,235.0,235.855,12063171,0.0,1.0
2021-03-23,237.67,241.12,235.5,237.3,12295566,237.67,241.12,235.5,237.3,12295566,0.0,1.0
2021-03-24,229.59,237.3,229.24,236.83,15949850,229.59,237.3,229.24,236.83,15949850,0.0,1.0
