date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04,1728.24,1760.65,1707.85,1757.54,1901855,1728.24,1760.65,1707.85,1757.54,1901855,0.0,1.0
2021-01-05,1740.92,1747.67,1718.015,1725.0,1145347,1740.92,1747.67,1718.015,1725.0,1145347,0.0,1.0
2021-01-06,1735.29,1748.0,1699.0,1702.63,2602114,1735.29,1748.0,1699.0,1702.63,2602114,0.0,1.0
2021-01-07,1787.25,1788.4,1737.05,1740.06,2265022,1787.25,1788.4,1737.05,1740.06,2265022,0.0,1.0
2021-01-08,1807.21,1809.84,1773.535,1787.98,2051002,1807.21,1809.84,1773.535,1787.98,2051002,0.0,1.0
2021-01-11,1766.72,1794.315,1760.5201,1786.07,1209735,1766.72,1794.315,1760.5201,1786.07,1209735,0.0,1.0
2021-01-12,1746.55,1778.04,1725.31,1753.92,1356464,1746.55,1778.04,1725.31,1753.92,1356464,0.0,1.0
2021-01-13,1754.4,1765.035,1738.01,1738.58,1094131,1754.4,1765.035,1738.01,1738.58,1094131,0.0,1.0
2021-01-14,1740.18,1775.01,1733.4,1753.62,1179477,1740.18,1775.01,1733.4,1753.62,1179477,0.0,1.0
2021-01-15,1736.19,1756.0,1721.55,1738.19,1342170,1736.19,1756.0,1721.55,1738.19,1342170,0.0,1.0
2021-01-19,1790.86,1809.275,1741.46,1752.25,1734614,1790.86,1809.275,1741.46,1752.25,1734614,0.0,1.0
2021-01-20,1886.9,1903.71,1825.53,1831.46,2490258,1886.9,1903.71,1825.53,1831.46,2490258,0.0,1.0
2021-01-21,1891.25,1934.86,1887.11,1898.0,2063932,1891.25,1934.86,1887.11,1898.0,2063932,0.0,1.0
2021-01-22,1901.05,1910.95,1881.76,1895.68,1272232,1901.05,1910.95,1881.76,1895.68,1272232,0.0,1.0
2021-01-25,1899.4,1929.58,1867.53,1920.67,1927320,1899.4,1929.58,1867.53,1920.67,1927320,0.0,1.0
2021-01-26,1917.24,1925.0,1884.245,1888.84,1313139,1917.24,1925.0,1884.245,1888.84,1313139,0.0,1.0
2021-01-27,1830.79,1890.0,1809.0,1882.53,2748292,1830.79,1890.0,1809.0,1882.53,2748292,0.0,1.0
2021-01-28,1863.11,1898.83,1842.64,1843.94,1773138,1863.11,1898.83,1842.64,1843.94,1773138,0.0,1.0
