date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04,729.77,744.4899,717.1895,719.46,48638189,729.77,744.4899,717.1895,719.46,48638189,0.0,1.0
2021-01-05,735.11,740.84,719.2,723.66,32245165,735.11,740.84,719.2,723.66,32245165,0.0,1.0
2021-01-06,755.98,774.0,749.1,758.49,44699965,755.98,774.0,749.1,758.49,44699965,0.0,1.0
2021-01-07,816.04,816.99,775.2,777.63,51498948,816.04,816.99,775.2,777.63,51498948,0.0,1.0
2021-01-08,880.02,884.49,838.39,856.0,75055528,880.02,884.49,838.39,856.0,75055528,0.0,1.0
2021-01-11,811.19,854.43,803.6222,849.4,59554146,811.19,854.43,803.6222,849.4,59554146,0.0,1.0
2021-01-12,849.44,868.0,827.34,831.0,45985569,849.44,868.0,827.34,831.0,45985569,0.0,1.0
2021-01-13,854.41,860.47,832.0,852.76,33312496,854.41,860.47,832.0,852.76,33312496,0.0,1.0
2021-01-14,845.0,863.0,838.75,843.39,31266327,845.0,863.0,838.75,843.39,31266327,0.0,1.0
2021-01-15,826.16,859.9,819.1,852.0,38777596,826.16,859.9,819.1,852.0,38777596,0.0,1.0
2021-01-19,844.55,850.0,833.0,837.8,25366980,844.55,850.0,833.0,837.8,25366980,0.0,1.0
2021-01-20,850.45,859.5,837.28,858.74,25665883,850.45,859.5,837.28,858.74,25665883,0.0,1.0
2021-01-21,844.99,855.7199,841.4201,855.0,20598133,844.99,855.7199,841.4201,855.0,20598133,0.0,1.0
2021-01-22,846.64,848.0,828.62,834.31,20066497,846.64,848.0,828.62,834.31,20066497,0.0,1.0
2021-01-25,880.8,900.4,838.8201,855.0,41173397,880.8,900.4,838.8201,855.0,41173397,0.0,1.0
2021-01-26,883.09,895.9,871.6,891.38,23131603,883.09,895.9,871.6,891.38,23131603,0.0,1.0
2021-01-27,864.16,891.5,858.66,870.35,27333955,864.16,891.5,858.66,870.35,27333955,0.0,1.0
2021-01-28,835.43,848.0,801.0,820.0,26378048,835.43,848.0,801.0,820.0,26378048,0.0,1.0
2021-01-29,793.53,842.41,780.1,830.0003,34990754,793.53,842.41,780.1,830.0003,34990754,0.0,1.0
2021-02-01,839.81,842.0,795.5601,814.29,25391385,839.81,842.0,795.5601,814.29,25391385,0.0,1.0
2021-02-02,872.79,880.5,842.2006,844.68,23998098,872.79,880.5,842.2006,844.68,23998098,0.0,1.0
2021-02-03,854.69,878.08,853.0646,877.02,18343510,854.69,878.08,853.0646,877.02,18343510,0.0,1.0
2021-02-04,849.99,856.5,833.42,855.0,15812661,849.99,856.5,833.42,855.0,15812661,0.0,1.0
2021-02-05,852.23,864.77,838.97,845.0,18566637,852.23,864.77,838.97,845.0,18566637,0.0,1.0
2021-02-08,863.42,877.77,854.75,869.67,20161719,863.42,877.77,854.75,869.67,20161719,0.0,1.0
2021-02-09,849.46,859.8,841.75,855.12,15027305,849.46,859.8,841.75,855.12,15027305,0.0,1.0
2021-02-10,804.82,844.82,800.02,843.635,35723444,804.82,844.82,800.02,843.635,35723444,0.0,1.0
2021-02-11,811.66,829.8799,801.725,812.44,21622753,811.66,829.8799,801.725,812.44,21622753,0.0,1.0
2021-02-12,816.12,817.33,785.3306,801.26,23768313,816.12,817.33,785.3306,801.26,23768313,0.0,1.0
2021-02-16,796.22,821.0,792.44,818.0,19802324,796.22,821.0,792.44,818.0,19802324,0.0,1.0
2021-02-17,798.15,799.84,762.01,779.09,25878526,798.15,799.84,762.01,779.09,25878526,0.0,1.0
2021-02-18,787.38,794.69,776.27,780.9,17957058,787.38,794.69,776.27,780.9,17957058,0.0,1.0
2021-02-19,781.3,796.7899,777.37,795.0,18958255,781.3,796.7899,777.37,795.0,18958255,0.0,1.0
2021-02-22,714.5,768.5,710.2,762.64,36594555,714.5,768.5,710.2,762.64,36594555,0.0,1.0
2021-02-23,698.84,713.6099,619.0,662.13,66606882,698.84,713.6099,619.0,662.13,66606882,0.0,1.0
2021-02-24,742.02,745.0,694.17,711.85,36766950,742.02,745.0,694.17,711.85,36766950,0.0,1.0
2021-02-25,682.22,737.2066,670.58,726.15,38126722,682.22,737.2066,670.58,726.15,38126722,0.0,1.0
2021-02-26,675.5,706.7,659.51,700.0,39767316,675.5,706.7,659.51,700.0,39767316,0.0,1.0
2021-03-01,718.43,719.0,685.05,690.11,27136239,718.43,719.0,685.05,690.11,27136239,0.0,1.0
2021-03-02,686.44,721.11,685.0,718.28,23732158,686.44,721.11,685.0,718.28,23732158,0.0,1.0
2021-03-03,653.2,700.7,651.705,687.99,30207960,653.2,700.7,651.705,687.99,30207960,0.0,1.0
2021-03-04,621.44,668.45,600.0,655.8,64799898,621.44,668.45,600.0,655.8,64799898,0.0,1.0
2021-03-05,597.95,627.8419,539.49,626.06,89396459,597.95,627.8419,539.49,626.06,89396459,0.0,1.0
2021-03-08,563.0,620.125,558.79,600.55,51786958,563.0,620.125,558.79,600.55,51786958,0.0,1.0
2021-03-09,673.58,678.09,595.21,608.18,67523328,673.58,678.09,595.21,608.18,67523328,0.0,1.0
2021-03-10,668.06,717.85,655.06,700.3,60605672,668.06,717.85,655.06,700.3,60605672,0.0,1.0
2021-03-11,699.6,702.5,677.18,699.4,36253892,699.6,702.5,677.18,699.4,36253892,0.0,1.0
2021-03-12,693.73,694.88,666.1394,670.0,33583840,693.73,694.88,666.1394,670.0,33583840,0.0,1.0
2021-03-15,707.94,713.18,684.04,694.09,29423479,707.94,713.18,684.04,694.09,29423479,0.0,1.0
2021-03-16,676.88,707.92,671.0,703.35,32195672,676.88,707.92,671.0,703.35,32195672,0.0,1.0
2021-03-17,701.81,703.73,651.01,656.87,40372453,701.81,703.73,651.01,656.87,40372453,0.0,1.0
2021-03-18,653.16,689.23,652.0,684.29,33369022,653.16,689.23,652.0,684.29,33369022,0.0,1.0
2021-03-19,654.87,657.23,624.6201,646.6,42893978,654.87,657.23,624.6201,646.6,42893978,0.0,1.0
