date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04,129.41,133.6116,126.76,133.52,143301887,128.453479987816,132.62402431605,125.823067176072,132.533101367538,143301887,0.0,1.0
2021-01-05,131.01,131.74,128.43,128.89,97664898,130.041653760944,130.766258044933,127.480723551775,127.937323511549,97664898,0.0,1.0
2021-01-06,126.6,131.0499,126.382,127.72,155087970,125.664249798759,130.081258844411,125.447861122171,126.775971439949,155087970,0.0,1.0
2021-01-07,130.92,131.63,127.86,128.36,109578157,129.952318986205,130.657071098031,126.914936645098,127.4112409492,109578157,0.0,1.0
2021-01-08,132.05,132.63,130.23,132.43,105158245,131.073966713477,131.649679706236,129.267419046544,131.451157984595,105158245,0.0,1.0
2021-01-11,128.98,130.17,128.5,129.19,100620880,128.026658286287,129.207862530051,127.550206154349,128.23510609401,100620880,0.0,1.0
2021-01-12,128.8,129.69,126.86,128.5,90440255,127.847988736811,128.731410398113,125.922328036893,127.550206154349,90440255,0.0,1.0
2021-01-13,130.89,131.45,128.49,128.76,88636831,129.922540727959,130.478401548554,127.540280068267,127.808284392482,88636831,0.0,1.0
2021-01-14,128.91,131.0,128.76,130.8,90221755,127.957175683713,130.031727674862,127.808284392482,129.833205953221,90221755,0.0,1.0
2021-01-15,127.14,130.2242,127.0,128.78,111598531,126.20025844719,129.261661916616,126.061293242041,127.828136564646,111598531,0.0,1.0
2021-01-19,127.83,128.71,126.938,127.78,90757329,126.885158386852,127.758653962072,125.999751508333,126.835527956441,90757329,0.0,1.0
2021-01-20,132.03,132.49,128.55,128.66,104319489,131.054114541313,131.510714501087,127.599836584759,127.709023531662,104319489,0.0,1.0
2021-01-21,136.87,139.67,133.59,133.8,120529544,135.858340205025,138.637644307999,132.602583970113,132.811031777836,120529544,0.0,1.0
2021-01-22,139.07,139.85,135.02,136.28,114459360,138.042079143076,138.816313857476,134.022014279846,135.272701126184,114459360,0.0,1.0
2021-01-25,142.92,145.09,136.54,143.07,157611713,141.863622284666,144.017582964471,135.530779364318,142.012513575897,157611713,0.0,1.0
2021-01-26,143.16,144.3,141.37,143.6,98390555,142.101848350635,143.233422163989,140.325078941948,142.538596138245,98390555,0.0,1.0
2021-01-27,142.06,144.3,140.41,143.43,140843759,141.009978881609,143.233422163989,139.372174678071,142.36985267485,140843759,0.0,1.0
2021-01-28,137.09,141.99,136.7,139.52,142621128,136.07671409883,140.940496279035,135.68959674163,138.488753016769,142621128,0.0,1.0
2021-01-29,131.96,136.74,130.21,135.83,177523812,130.984631938738,135.729301085959,129.24756687438,134.826027252492,177523812,0.0,1.0
2021-02-01,134.14,135.38,130.93,133.75,106239823,133.148518704625,134.3793533788,129.962245072287,132.761401347426,106239823,0.0,1.0
2021-02-02,134.99,136.31,134.61,135.73,82266419,133.9922360216,135.30247938443,133.615044750482,134.726766391672,82266419,0.0,1.0
2021-02-03,133.94,135.77,133.61,135.76,89880937,132.949996982984,134.766470736,132.622436142277,134.756544649918,89880937,0.0,1.0
2021-02-04,137.39,137.4,134.59,136.3,84183061,136.374496681292,136.384422767374,133.595192578318,135.292553298348,84183061,0.0,1.0
2021-02-05,136.76,137.42,135.86,137.35,75693830,135.952638022805,136.6087417161,135.057951168311,136.53915496075,75693830,0.205,1.0
2021-02-08,136.91,136.96,134.92,136.03,71297214,136.101752498554,136.151457323803,134.123500453618,135.22694757416,71297214,0.0,1.0
2021-02-09,136.01,137.877,135.85,136.62,75986989,135.20706564406,137.063043818882,135.048010203261,135.813464512106,75986989,0.0,1.0
2021-02-10,135.39,136.99,134.4,136.48,72647988,134.590725810965,136.181280218953,133.606570271022,135.674291001407,72647988,0.0,1.0
2021-02-11,135.13,136.39,133.77,135.9,64280029,134.332260719667,135.584822315957,132.980289472877,135.097715028511,64280029,0.0,1.0
2021-02-12,135.37,135.53,133.6921,134.35,60145130,134.570843880865,134.729899321664,132.902849355138,133.556865445772,60145130,0.0,1.0
2021-02-16,133.19,136.01,132.79,135.49,80576316,132.403713499981,135.20706564406,132.006074897984,134.690135461464,80576316,0.0,1.0
2021-02-17,130.84,132.22,129.47,131.25,97372199,130.067586713248,131.439439890138,128.705674501408,130.475166280295,97372199,0.0,1.0
2021-02-18,129.71,129.995,127.41,129.2,96856748,128.944257662606,129.227575166529,126.657835701123,128.43726844506,96856748,0.0,1.0
2021-02-19,129.87,130.71,128.8,130.24,87668834,129.103313103405,129.938354167599,128.039629843063,129.471128810252,87668834,0.0,1.0
2021-02-22,126.0,129.72,125.6,128.01,102886922,125.256159629083,128.954198627656,124.858521027086,127.254293604118,102886922,0.0,1.0
2021-02-23,125.86,126.71,118.39,123.76,158273022,125.116986118384,125.961968147628,117.691085226088,123.029383457899,158273022,0.0,1.0
2021-02-24,125.35,125.56,122.23,124.94,111039904,124.609996900838,124.818757166886,121.50841580526,124.202417333791,111039904,0.0,1.0
2021-02-25,120.99,126.4585,120.54,124.68,144766924,120.27573613907,125.711952876622,119.828392711823,123.943952242493,144766924,0.0,1.0
2021-02-26,121.26,124.85,121.2,122.59,163424672,120.544142195418,124.112948648341,120.484496405118,121.866290547058,163424672,0.0,1.0
2021-03-01,127.79,127.93,122.79,123.75,116307892,127.03559237302,127.174765883719,122.065109848056,123.019442492849,116307892,0.0,1.0
2021-03-02,125.12,128.72,125.01,128.41,102260945,124.381354704689,127.960102122663,124.27200408914,127.651932206116,102260945,0.0,1.0
2021-03-03,122.06,125.71,121.84,124.81,112966340,121.339419399412,124.967871642635,121.120718168313,124.073184788142,112966340,0.0,1.0
2021-03-04,120.13,123.6,118.62,121.75,178154975,119.420813144776,122.870328017101,117.919727422237,121.031249482864,178154975,0.0,1.0
2021-03-05,121.42,121.935,117.57,120.98,153766601,120.703197636216,121.215157336288,116.875926091994,120.26579517402,153766601,0.0,1.0
2021-03-08,116.36,121.0,116.21,120.93,154376610,115.673069320953,120.285677104119,115.523954845204,120.21609034877,154376610,0.0,1.0
2021-03-09,121.085,122.06,118.79,119.03,129525780,120.370175307044,121.339419399412,118.088723828086,118.327306989284,129525780,0.0,1.0
2021-03-10,119.98,122.17,119.45,121.69,111943326,119.271698669027,121.448770014961,118.744827521381,120.971603692564,111943326,0.0,1.0
2021-03-11,121.96,123.21,121.26,122.54,103026514,121.240009748912,122.482630380153,120.544142195418,121.816585721808,103026514,0.0,1.0
2021-03-12,121.03,121.17,119.16,120.4,88105050,120.315499999269,120.454673509968,118.456539534933,119.689219201124,88105050,0.0,1.0
2021-03-15,123.99,124.0,120.42,121.41,92590555,123.258025654048,123.267966619098,119.709101131224,120.693256671166,92590555,0.0,1.0
2021-03-16,125.57,127.22,124.715,125.7,115227936,124.828698131936,126.468957365174,123.978745620167,124.957930677585,115227936,0.0,1.0
2021-03-17,124.76,125.8599,122.336,124.05,111932636,124.023479962892,125.116886708734,121.61379003479,123.317671444347,111932636,0.0,1.0
2021-03-18,120.53,123.18,120.32,122.88,121469755,119.818451746773,122.452807485004,119.609691480724,122.154578533506,121469755,0.0,1.0
2021-03-19,119.99,121.43,119.675,119.9,185549522,119.281639634077,120.713138601266,118.968499235004,119.192170948627,185549522,0.0,1.0
2021-03-22,123.39,123.87,120.26,120.33,111912284,122.661567751052,123.138734073449,119.550045690425,119.619632445774,111912284,0.0,1.0
2021-03-23,122.54,124.24,122.14,123.33,95467142,121.816585721808,123.506549780296,121.418947119811,122.601921960752,95467142,0.0,1.0
2021-03-24,120.09,122.9,120.065,122.82,88530485,119.381049284576,122.174460463606,119.356196871951,122.094932743206,88530485,0.0,1.0
2021-03-25,120.59,121.66,119.0,119.54,98844681,119.878097537072,120.941780797415,118.297484094134,118.83429620683,98844681,0.0,1.0
2021-03-26,121.21,121.48,118.92,120.35,94071234,120.494437370168,120.762843426516,118.217956373735,119.639514375874,94071234,0.0,1.0
2021-03-29,121.39,122.58,120.7299,121.65,80819203,120.673374741067,121.856349582008,120.017171638121,120.931839832365,80819203,0.0,1.0
2021-03-30,119.9,120.4031,118.86,120.11,85671919,119.192170948627,119.692300900289,118.158310583435,119.400931214676,85671919,0.0,1.0
2021-03-31,122.15,123.52,121.15,121.65,118323826,121.428888084861,122.790800296701,120.434791579868,120.931839832365,118323826,0.0,1.0
2021-04-01,123.0,124.18,122.49,123.66,75089134,122.273870114105,123.446903989996,121.766880896559,122.9299738074,75089134,0.0,1.0
2021-04-05,125.9,126.1601,123.07,123.87,88651175,125.156749978584,125.415314479532,122.343456869454,123.138734073449,88651175,0.0,1.0
2021-04-06,126.21,127.13,125.65,126.5,80171253,125.464919895132,126.379488679725,124.908225852336,125.753207881579,80171253,0.0,1.0
2021-04-07,127.9,127.92,125.14,125.83,83466716,127.144942988569,127.164824918669,124.401236634789,125.087163223234,83466716,0.0,1.0
2021-04-08,130.36,130.39,128.52,128.95,88844591,129.590420390851,129.620243286001,127.761282821665,128.188744318812,88844591,0.0,1.0
2021-04-09,132.995,133.04,129.47,129.8,106686703,132.209864681507,132.254599024232,128.705674501408,129.033726348055,106686703,0.0,1.0
2021-04-12,131.24,132.85,130.63,132.52,91419983,130.465225315245,132.065720688283,129.858826447199,131.737668841636,91419983,0.0,1.0
2021-04-13,134.43,134.66,131.93,132.44,91266545,133.636393166172,133.86503536232,131.15115190369,131.658141121236,91266545,0.0,1.0
